enr,id,multiaddr,epoch,metadata,long_lived_subnets,subscribed_subnets,client_version,crawler_id,crawler_location,timestamp
enr:-MK4QL0Zcy4Im9-G8LkhvmNqnGt7YzdJiO7pYtyUmBXWeHiYSocZZ8yQr55ohDbcLdBhEBf78ybkI6peRv_aiKkSTbqGAY3z9g8jh2F0dG5ldHOIABgAAAAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhDa4VWaJc2VjcDI1NmsxoQLTIaw2TWEG0Q95Vswh0iYIfWH6fEd2kFM0WaVQ0_VtDIhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAm9dqnTSYPpqFevmJXXvRUavRzcEuYPVS2htkoQLumpu4w,/ip4/54.184.85.102/tcp/13000,286684,"{""seq_number"":82,""attnets"":""0018000000000000"",""syncnets"":""00""}","[11,12]","[63,11,12]",Prysm/v5.0.0/b7b017f5b607f04d4e9056a1ec8a6851a9c7da29,FLY_MACHINE_ID,FLY_REGION,1716910737176
enr:-Ma4QFhM2BUT69gJPlPh3Mf0WoAxG2fMUYlmUNQGUX3uGJmcNDnyxZYFSIYmR8LAwiOiNPFocStk7wbVFdH7X6qYO3WCcLOHYXR0bmV0c4gAAAAAAAAGAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEIk3uPYRxdWljgiZ9iXNlY3AyNTZrMaEDRpoeA3g_HrFW7VOrHVDUSKaILdnkpSsRXcC8VncEoBSIc3luY25ldHMGg3RjcIImfIN1ZHCCJnw,16Uiu2HAmHQbC4bRTKZ1ERziAgL9hnjPVYJjJgR7SK39tqzMwQ4TD,/ip4/34.77.238.61/tcp/9852,286684,"{""seq_number"":28781,""attnets"":""0000000000000600"",""syncnets"":""06""}","[49,50]","[59,6,49,12,50,9,44,2,11,9,19,12,22,44,30,59]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716910739024
enr:-Ma4QGxS19_anSaHesm7hDWv2fMBkPajwVw64Y9SMtJGKA9UI6TW2byDlm1IyXOtKnQzomEJfF2hWFrY_mGtPC-XpXGCA32HYXR0bmV0c4gAAAAAAIABAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEA3gby4RxdWljgh9BiXNlY3AyNTZrMaECO6XrEO5kb9C_1g8MfIyb1z4zzbraEWtsCN825SoyuAmIc3luY25ldHMCg3RjcIIjKYN1ZHCCIyk,16Uiu2HAkySWmnvqcpyxCNKwjn1P6VDSvBgKzhBWAkAqsMRzDqxo2,/ip4/3.120.27.203/tcp/9001,286684,"{""seq_number"":822,""attnets"":""0000000000800100"",""syncnets"":""02""}","[47,48]","[47,37,44,31,48,49,31,18,37,44]",Lighthouse/v5.1.3-3058b96/aarch64-linux,FLY_MACHINE_ID,FLY_REGION,1716910739018
enr:-MK4QD5OINJlLYEE5Xy89K3NZQ6E-UGjbQHLV73_SHKoJcmHUg4oJo9lkLdTmsqPpo_JuxMSvZsglEg61IuPAs7dcRSGAY8a8F5-h2F0dG5ldHOIAwAAAAAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhEIXyTqJc2VjcDI1NmsxoQLERt8r7bq7M9ws95gBiabtlOlhpD5J8zOkIm7KGtD2GIhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAm8drZuNh5G6Y5MmaPuJemuoCaNn5CWbfRF2TRwuuhVTh1,/ip4/66.23.201.58/tcp/13000,286684,"{""seq_number"":29,""attnets"":""0300000000000000"",""syncnets"":""00""}","[0,1]","[9,61,23,43,11,34,32,46,30,57,63,22,62,60,18,49,42,56,8,29,53,58,20,31,28,33,12,13,7,17,24,21,35,41,45,54,27,36,0,5,39,25,50,14,38,55,6,16,26,3,15,10,37,1,4,19,51,59,2,40,47,44,48,52]",Prysm/Unknown/Local build,FLY_MACHINE_ID,FLY_REGION,1716910740870
enr:-Ma4QFLGrLipwoEzEWpwM8IBQHV2gPMUPjCD01jnReG8hmrXa2kisCauyhwLpJ4jumVv3WMe-4-2sXHmU4sou8Z77FiCBWCHYXR0bmV0c4gADAAAAAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEM1tqUIRxdWljgiMpiXNlY3AyNTZrMaEDRDTr-uuuLLKj4d2pfq_8M7wZrhDoKO0UpTGXVJ8aYh-Ic3luY25ldHMPg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmHFEsu8VCyXTMErXYApVLszwYDVhHa2hLpoZ1oMdCTTn6,/ip4/51.91.106.80/tcp/9000,286684,"{""seq_number"":1338,""attnets"":""000c000000000000"",""syncnets"":""0f""}","[10,11]","[34,43,11,10,20,42,43]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716910799015
enr:-Ly4QDi1goU0r2hAaVeXuP3OdrGU_beZWwLGxrKwKAMJF14FLfVABuxtZ-oDhiwUOzarfrm5TuOsQpBdkYbi4Cbv_i8Qh2F0dG5ldHOIABgAAAAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhDNP5hqJc2VjcDI1NmsxoQLWSxMVYHr76qTANuKKn1AtNKyNva1T7DL0mDDE_TKr9YhzeW5jbmV0cwKDdGNwgiMog3VkcIIjKA,16Uiu2HAm9rBd89PjuhKQJ8HqKmmpjS9M5GY8yY1CmyCBsoEctrrp,/ip4/51.79.230.26/tcp/9000,286684,"{""seq_number"":10,""attnets"":""0018000000000000"",""syncnets"":""02""}","[11,12]","[11,12,44]",lodestar/v1.18.1,FLY_MACHINE_ID,FLY_REGION,1716910800531
enr:-Ma4QIPlI5Iw6WGqfmTdxrnIH_Do1k3CylqEjjZq8HBzRqXWI-F5mek_Z-G_tAGafJB2pSmYIrKteVaTtHMshK-t7XuCAXOHYXR0bmV0c4gAGAAAAAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCENvmt34RxdWljgjLJiXNlY3AyNTZrMaECZETvWaROj3L8tnNmFPXR_AbSYCkXe3L2px_Ky1Xb1dmIc3luY25ldHMHg3RjcIIyyIN1ZHCCLuA,16Uiu2HAm2B5iVaC8bGVhwZ2QHsH2dy8VFzfqCFqptMYTPzTNzVrQ,/ip4/54.249.173.223/tcp/13000,286684,"{""seq_number"":1217,""attnets"":""0018000000000000"",""syncnets"":""07""}","[11,12]","[40,12,51,42,55,34,3,6,18,43,25,59,17,8,11,44,14,41]",rust-libp2p/0.44.1,FLY_MACHINE_ID,FLY_REGION,1716910801143
enr:-Ma4QFTpCslDJ_ZkcaOaA-F_3kbmMw5jUHLbScWFSFWHGAzwIcKvrwncVg5Zwv1pPFM-w_ioQFC0Pkh1e2BB28A3MpKCCnyHYXR0bmV0c4gAAAAAAAAADIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEWZXaBYRxdWljgiMpiXNlY3AyNTZrMaEDmM5Em24T0GGVdA-k0MBsS1hk6XlPd3UlnzJ1aJiimmGIc3luY25ldHMLg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmNwUkAwJKjKAv6qKEtU6v9eYRc7nt5zfyBTXddjUDTB8t,/ip4/89.149.218.5/tcp/9000,286684,"{""seq_number"":2611,""attnets"":""000000000000000c"",""syncnets"":""0b""}","[58,59]","[53,44,58,32,1,27,59,11,54]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716910816044
enr:-MS4QBw3kcOkLWmlr5o-6lRvdZ976Rvu-gupW4a-vJ3CkomvKKFTOdvTbjcBU6VY-AHRPWRCVFUn9pi2GYGq8HDXduF-h2F0dG5ldHOIAAAAADAAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhCJDSt2EcXVpY4IjKYlzZWNwMjU2azGhA7BCT0KsecD9UBgLaK1ZFnS29jSUB5x6VVaFwTXLyG0HiHN5bmNuZXRzD4N0Y3CCIyiDdWRwgiMo,16Uiu2HAmQX2kTDkgRhmzi8dupijfm3RpYuhW2KAYgKmZyLibJcXg,/ip4/34.67.74.221/tcp/9000,286684,"{""seq_number"":111,""attnets"":""0000000030000000"",""syncnets"":""0f""}","[36,37]","[34,63,2,36,44,37,21,53,14,35,11,57]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716910829678
enr:-L64QG19tkQo5ydhIcOOdILas4Hhp7hAcBMAHcR9lNnEiNXECzy6MVgyu3_54yBR9NKmpoWnxqtF1yYAubLKywrXVjOCAt6HYXR0bmV0c4gAAAMAAAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEojf7XolzZWNwMjU2azGhAx7TUpfEYRjG7Tfri1OpQu0ig160-Ltng2Ji3MWuALxfiHN5bmNuZXRzAIN0Y3CCIyiDdWRwgiMo,16Uiu2HAmEjKUak7Lg74XX7FvKBBSSM1Zyvxx9PB6MH3FDcLkr8Zk,/ip4/162.55.251.94/tcp/9000,286684,"{""seq_number"":619,""attnets"":""0000030000000000"",""syncnets"":""00""}","[16,17]","[20,17,16,20]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716910859014
enr:-MK4QOoK7MupwVtkBFhDyUXFSp6yMpwpF7aVDTXHQGw9EVuuIyrh5Il2UfRiYlVS213GArxeKLIALFSdEkx9-OHqmQGGAY8HftJ9h2F0dG5ldHOIAAAAAAYAAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhMKjqMuJc2VjcDI1NmsxoQOKzJEn6-DKCUSzPLK9b68i9MdcohA7K93IguSbdUXMmIhzeW5jbmV0cwCDdGNwgjLIg3VkcIIu4A,16Uiu2HAmMzoXsM9Hk2LWzhpf7m745cpBrKbkJs58pKgbVaAroVoV,/ip4/194.163.168.203/tcp/13000,286684,"{""seq_number"":32,""attnets"":""0000800100000000"",""syncnets"":""00""}","[23,24]","[23,24,10]",Prysm/v5.0.3/38f208d70dc95b12c08403f5c72009aaa10dfe2f,FLY_MACHINE_ID,FLY_REGION,1716910862810
enr:-Ly4QIYzd2rNhmc6yvcC8rTT3MPgMzzTix3xKbN20Zgf6_CFPbXUnGmQaMtaVVjMiPlj47XJZXlqAsaS0r6yeq7x-8YSh2F0dG5ldHOIAAAAAAAwAACEZXRoMpBqlaGpBAAAAP__________gmlkgnY0gmlwhI1eqyKJc2VjcDI1NmsxoQO0AtSH40-28agKpNo_jXi_MCBY0Y4VtPFisNMv3WizY4hzeW5jbmV0cwSDdGNwgiMog3VkcIIjKA,16Uiu2HAmQmgEq9WhnKycVfuQuqTujYu3toZvZUiMGFfiMnxR54Kc,/ip4/141.94.171.34/tcp/9000,286684,"{""seq_number"":13,""attnets"":""0000000000300000"",""syncnets"":""04""}","[44,45]","[44,45,48]",lodestar/v1.18.1,FLY_MACHINE_ID,FLY_REGION,1716910933378
enr:-Ma4QJJWizx6gQIcDh8Wl4h60R8xgi8KYDQgO_OGManEyr5KZ4VO7XgUxx9tU9k5BsfQhkyejYosND-t4_CSSE0yv22CA0KHYXR0bmV0c4gAAAAAYAAAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEGBsoWYRxdWljgiMpiXNlY3AyNTZrMaEDyiJX8IL4S_419i_tIz55u3IbTSQ1ob994ZmuT7IFc9uIc3luY25ldHMAg3RjcIIjKIN1ZHCCIyg,16Uiu2HAmSG35YXSJyh14yMQXRFjFnL1huBLkqNtSahV42TZaxVAz,/ip4/24.27.40.89/tcp/9000,286685,"{""seq_number"":791,""attnets"":""0000000060000000"",""syncnets"":""00""}","[37,38]","[38,37,34]",Lighthouse/v5.1.3-3058b96/x86_64-windows,FLY_MACHINE_ID,FLY_REGION,1716911069953
enr:,16Uiu2HAm8gd5iqHUtFdr3n56q2XUeJXXTNkwuSx14w4hB9bKH4mQ,/ip4/82.100.58.107/tcp/13000,286685,"{""seq_number"":48,""attnets"":""0080010000000000"",""syncnets"":""00""}","[15,16]","[38,62,41,30,52,27,13,7,54,18,22,21,39,6,20,46,42,35,55,15,61,48,56,16,33,25,32,47,29,28,44,1,36,14,43,63,58,50,51,40,31,49,12,0,9,53,26,10,17,3,4,45,5,60,24,59,57,23,8,37,19,11,34,2]",Prysm/v5.0.2/b3053dc96ad2b89fc66ce44009178a010cd2258d,FLY_MACHINE_ID,FLY_REGION,1716911090383
enr:-Ma4QFHaryi_8rP5wHFsHYEj15j5I6CELtZW_G-1tZhNcO5yJS9SGkgCK8-PluCGM0k2bbtxxtv5lFxGsphyKHLlByKCBIqHYXR0bmV0c4gAAAAAAADAAIRldGgykGqVoakEAAAA__________-CaWSCdjSCaXCEEKq5aIRxdWljgqQRiXNlY3AyNTZrMaED7-YiqiXbLHAPwkapVL-d7CSyt5KMcruHF5F92biHLYSIc3luY25ldHMIg3RjcIKkEIN1ZHCCpBA,16Uiu2HAmUoTKhtKU7cem2wbf5XgoofUTiBSb6QGnZEBUt9j5FnEF,/ip4/16.170.185.104/tcp/42000,286685,"{""seq_number"":1142,""attnets"":""000000000000c000"",""syncnets"":""08""}","[54,55]","[59,22,13,55,1,14,21,46,34,6,54,50,1,48,13,10,14,8,34,2,46,63,50,62,41,37,14,49,53,26,60]",Lighthouse/v5.1.3-3058b96/x86_64-linux,FLY_MACHINE_ID,FLY_REGION,1716911099048
